id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,date
3051,1,4,7,2520,10890,1,0,0,3,7,1260,1260,1979,0,98023,2090,12375,245
662,1,3,7,1140,22267,1,0,0,3,7,1140,0,1986,0,98045,1150,15625,325
909,1,3,7,1410,9315,1,0,0,5,7,1410,0,1960,0,98031,1630,8250,160
1974,2,4,9,2260,16188,1,0,0,3,10,2260,0,1984,0,98006,2840,10158,327
12068,2,4,7,1670,13125,1,0,0,5,8,1670,0,1973,0,98052,2360,12500,361
20057,1,4,10,2210,13721,2,0,0,3,8,2210,0,2009,0,98042,1850,12951,132
11786,1,2,6,1670,9880,1,0,0,4,7,1670,0,1941,1963,98146,1670,9807,97
19910,2,4,10,2880,9003,2,0,0,3,10,2880,0,2008,0,98033,2640,8126,91
4022,1,2,4,980,3800,1,0,0,3,7,980,0,1926,0,98103,1520,5010,354
18579,1,3,9,1410,7290,1,0,0,3,7,940,470,1980,0,98118,1550,7375,148
9285,1,2,4,1000,8212,1,0,0,4,7,1000,0,1947,0,98133,1620,8214,209
21557,2,3,9,1230,1380,3,0,0,3,8,1230,0,2013,0,98199,1760,5664,152
2598,2,2,7,1890,9466,2,0,0,3,8,1890,0,1987,0,98004,2180,12825,19
3267,1,3,9,1610,7084,1,0,0,4,8,1280,330,1968,0,98023,2170,8505,204
5436,2,6,11,2840,8346,1,0,0,5,8,1420,1420,1961,0,98118,2250,8346,53
2442,2,4,10,3060,7161,2,0,0,3,8,2860,200,2005,0,98065,2950,6822,290
14625,2,3,9,1990,8501,2,0,0,3,8,1990,0,1991,0,98029,2090,6459,161
8703,1,3,7,1120,15210,1,0,0,5,7,1120,0,1976,0,98042,1710,8470,281
19081,1,2,4,1220,10170,1,0,0,3,7,980,240,1948,0,98125,1990,9064,324
6014,2,4,10,3350,4501,2,0,0,3,9,2640,710,2002,0,98117,1000,4500,353
4347,1,3,7,1340,8250,1,0,0,3,7,1100,240,1985,0,98042,1540,7860,184
8229,2,3,13,4330,14600,2,0,0,3,10,3630,700,1985,0,98074,3220,12672,265
2755,1,3,10,2040,4348,2,0,0,4,8,2040,0,2006,0,98038,2380,4348,84
17029,1,4,8,1700,21780,1,0,0,4,6,1080,620,1940,0,98052,2070,12054,202
7239,2,4,10,2700,10160,2,0,0,3,9,2700,0,1988,0,98029,2760,9219,375
11733,1,3,4,1180,9000,1,0,0,4,7,1180,0,1970,0,98031,1290,8316,88
3191,2,4,11,3370,8103,1,0,3,3,9,1970,1400,1970,2014,98136,2120,6360,4
7841,1,4,10,1950,3225,2,0,0,3,7,1950,0,2002,0,98178,1980,3225,182
3715,1,4,9,1310,8400,1,0,0,4,7,1310,0,1966,0,98034,1600,8400,204
11819,1,3,9,1620,10850,1,0,0,3,7,1620,0,1966,0,98055,1910,10568,187
14578,2,4,9,2390,57599,2,0,0,3,8,2390,0,1981,0,98053,2390,38186,317
11333,1,3,6,1210,5240,1,0,0,4,7,610,600,1983,0,98106,1560,5240,42
1936,1,4,7,1660,6200,1,0,0,4,6,830,830,1948,0,98108,1780,5968,174
18394,2,4,10,3500,9198,2,0,0,3,9,3500,0,2004,0,98053,3990,8598,71
9428,1,4,8,2560,12155,1,0,0,4,7,1350,1210,1960,0,98003,1790,11906,140
15213,2,3,9,2390,2750,2,0,0,5,8,1580,810,1925,0,98109,2200,5160,311
13486,1,3,4,1220,7200,1,0,0,4,7,1220,0,1965,0,98008,1320,7200,281
16742,1,3,8,1670,7700,1,0,0,3,7,1170,500,1972,0,98034,1500,7875,47
14863,1,3,6,2000,7294,1,0,0,3,7,1520,480,1965,0,98118,2000,6000,25
16109,1,4,4,1320,11212,1,0,0,5,6,1320,0,1914,0,98002,1060,6766,313
14337,1,3,7,1360,13320,1,0,0,4,7,1360,0,1985,0,98059,1580,13625,313
6336,1,3,9,1820,6000,1,0,0,4,7,1120,700,1964,0,98108,1970,6232,360
18469,1,3,6,1320,15053,1,0,0,3,7,1320,0,1979,0,98072,1250,13368,144
597,1,3,7,1460,10584,1,0,0,3,7,990,470,1997,0,98168,1220,12012,33
8465,1,3,10,2040,14071,2,0,0,3,7,2040,0,1995,0,98019,1890,14040,266
8873,1,4,8,2200,7700,1,0,0,3,7,1100,1100,1979,0,98058,1790,7700,49
3582,2,2,4,1050,7500,1.5,0,3,4,6,1050,0,1910,0,98116,2540,13680,374
3125,2,4,10,2900,6736,2,0,0,3,8,2900,0,2013,0,98059,2900,6736,173
10759,2,5,9,3100,97661,2,0,0,3,9,3100,0,1986,0,98053,2370,53993,325
3321,2,4,10,2310,5362,2,0,4,4,8,2010,300,1928,0,98122,2530,5960,326
14743,1,2,6,1170,1250,3,0,0,3,8,1170,0,2000,0,98107,1310,1308,369
19478,1,4,8,1700,12048,2,0,0,3,7,1700,0,1990,0,98030,1960,7650,341
18763,2,3,8,1660,10000,1,0,0,4,7,1010,650,1961,0,98005,2020,9720,293
17593,1,3,4,1360,8968,1,0,0,3,7,1360,0,1956,0,98125,1490,7355,137
10172,1,4,10,3140,8060,2,0,0,3,9,3140,0,1991,0,98023,3000,8060,20
20734,2,4,14,3610,6345,2,0,0,3,9,2370,1240,2008,0,98058,3010,29279,368
12591,2,5,14,3610,52595,2,0,0,4,7,3610,0,1989,0,98014,1620,60112,77
16714,1,4,12,2740,2811,2,0,0,3,8,2240,500,2003,0,98072,2740,3596,106
14400,2,5,18,4130,10404,2,0,0,3,10,4130,0,2004,0,98029,3890,11531,117
2000,1,4,9,2340,13383,1,0,0,3,8,1170,1170,1983,0,98074,1810,12532,78
8797,1,2,6,1440,22081,2,0,0,3,7,1440,0,1990,0,98019,1440,19544,303
20669,1,3,10,2180,4533,2,0,0,3,7,2180,0,2010,0,98011,2180,7347,201
11323,2,3,6,1280,2114,1.5,0,0,3,8,1280,0,1904,0,98122,1540,1456,167
20186,2,3,13,4030,6300,2,0,0,3,10,3630,400,2006,0,98105,1660,6300,260
14373,1,3,4,1720,9605,1,0,0,3,7,860,860,1969,0,98028,1720,9998,146
18829,2,3,8,1940,55756,1,0,0,5,9,1940,0,1954,0,98007,2330,10018,16
11991,2,5,11,3260,11700,1,0,0,3,8,1630,1630,1964,0,98008,2860,11700,49
12918,2,4,10,3330,8897,2,0,0,3,10,3330,0,2001,0,98074,3150,7515,334
14654,2,4,10,3600,155509,2,0,0,3,9,3600,0,2004,0,98010,3410,34412,262
4467,1,4,12,2040,7145,1,0,0,3,8,1490,550,1994,0,98092,1940,7145,307
1476,1,4,9,2100,8075,2,0,0,3,8,2100,0,1978,0,98003,2100,7464,325
5150,2,4,14,3695,6556,2,0,0,3,9,3695,0,2014,0,98053,4160,6786,266
9557,2,2,4,1790,3760,1.5,0,0,4,8,1490,300,1912,0,98144,1458,3760,173
7123,2,3,7,1700,6120,1,0,0,3,7,1700,0,1952,0,98116,1330,6120,244
10024,1,3,9,1230,7420,1.5,0,0,5,7,1230,0,1913,0,98002,1260,7556,49
2182,1,5,8,2020,5000,1.5,0,0,4,7,2020,0,1938,0,98117,1510,6600,4
2861,1,3,8,1760,43575,1,0,0,3,7,1160,600,1988,0,98010,1760,46038,104
8311,1,3,7,1400,13775,1,0,0,3,8,1400,0,1963,0,98028,2200,10450,61
8641,1,3,7,1610,7900,1,0,0,4,8,1310,300,1960,0,98177,2210,7700,160
13836,2,4,13,2520,3360,1.5,0,0,4,8,1550,970,1931,0,98115,1730,3360,48
11758,1,4,10,2440,5350,2,0,0,3,7,2440,0,2003,0,98059,2440,5090,83
2808,1,3,11,2020,9505,1,0,0,3,7,1260,760,1969,0,98011,2080,11901,216
17707,2,3,9,1960,10139,2,0,0,3,8,1960,0,1984,0,98074,2080,9753,347
14663,2,4,4,1960,3194,2,0,0,3,7,1960,0,1907,0,98144,1870,4200,148
2525,1,3,4,1010,7633,1,0,0,4,6,1010,0,1961,0,98198,1190,8386,238
1431,1,4,10,2900,4762,2,0,0,3,8,2900,0,2005,0,98042,2900,5173,145
11927,2,3,9,2150,9250,2,0,0,3,8,2150,0,1984,0,98052,2240,9266,220
14402,2,3,10,1480,8381,1,0,0,4,7,1480,0,1968,0,98125,1710,8050,34
15571,1,3,9,1990,6350,2,0,0,3,7,1990,0,1967,0,98198,1220,6250,197
20647,2,3,8,2550,4794,2,0,0,3,9,2550,0,2007,0,98115,1630,5100,163
9150,2,3,9,2130,12286,2,0,0,3,8,2130,0,1977,0,98052,2130,10158,103
959,1,3,7,2100,14850,1,0,0,4,7,2100,0,1963,0,98042,1930,17238,130
1681,1,5,12,2930,5500,1,0,0,3,7,1750,1180,1951,0,98118,1400,5500,133
4688,2,4,11,3400,7081,2,0,0,3,9,3400,0,2001,0,98006,3060,7081,225
4426,1,2,4,1350,368517,1,0,0,3,6,1350,0,1947,0,98077,2330,104108,182
17211,2,5,11,3090,19865,1,0,0,4,9,3090,0,1953,0,98039,2970,19862,184
6160,1,4,7,2190,11625,1,0,0,4,8,2020,170,1956,0,98146,1920,8855,361
19576,1,2,4,780,8160,1,0,0,4,6,780,0,1953,0,98133,1310,8160,156
9915,1,2,4,1000,5120,1,0,0,3,6,1000,0,1902,0,98122,1940,4300,145
11371,2,3,10,1980,7807,2,0,0,4,9,1980,0,1989,0,98033,1590,7579,112
3439,1,3,8,1260,4125,1,0,0,3,6,1260,0,1998,0,98188,1300,9091,170
16229,1,3,10,1650,3436,2,0,0,3,7,1650,0,2003,0,98053,1680,3446,340
